rank,title,year,rating,genres
46,the red turtle,2017,93,animation
47,long way north,2016,98,animation
48,aladdin,1992,94,animation
49,fantastic mr. fox,2009,92,animation
50,frozen,2013,90,animation
51,the breadwinner,2017,95,animation
52,ghost in the shell,1996,96,animation
53,coraline,2009,90,animation
54,lady and the tramp,1955,93,animation
55,antz,1998,93,animation
56,the triplets of belleville,2003,94,animation
57,how to train your dragon 2,2014,91,animation
58,bambi,1942,90,animation
59,my neighbor totoro,1988,94,animation
60,big hero 6,2014,89,animation
61,the little mermaid,1989,92,animation
62,a bug's life,1998,92,animation
63,princess mononoke,1999,92,animation
64,arthur christmas,2011,92,animation
65,mary and max,2009,95,animation
66,james and the giant peach,1996,92,animation
67,teen titans go! to the movies,2018,91,animation
68,ponyo,2009,91,animation
69,shrek 2,2004,89,animation
70,bolt,2008,89,animation
71,tangled,2010,89,animation
72,the simpsons movie,2007,88,animation
73,shrek,2001,88,animation
74,frankenweenie,2012,87,animation
75,the wind rises,2014,88,animation
76,boy and the world,2015,93,animation
77,winnie the pooh,2011,91,animation
78,rango,2011,88,animation
79,the illusionist,2010,91,animation
80,paranorman,2012,88,animation
81,the peanuts movie,2015,87,animation
82,kung fu panda,2008,87,animation
83,wreck-it ralph,2012,87,animation
84,millennium actress,2001,92,animation
85,when marnie was there,2015,90,animation
86,the secret of kells,2010,91,animation
87,howl's moving castle,2005,87,animation
88,tarzan,1999,88,animation
89,kung fu panda 3,2016,86,animation
90,the boy and the beast,2016,90,animation
91,captain underpants: the first epic movie,2017,87,animation
92,sausage party,2016,83,animation
93,tokyo godfathers,2003,90,animation
94,mary and the witch's flower,2018,88,animation
95,my dog tulip,2010,90,animation
96,the pirates! band of misfits,2012,86,animation
97,the princess and the frog,2009,85,animation
98,loving vincent,2017,85,animation
99,akira,1988,87,animation
100,tim burton's corpse bride,2005,84,animation
1,the cabinet of dr. caligari,1920,100,art_house|international
2,metropolis,1927,99,art_house|international
3,la grande illusion,1938,97,art_house|international
4,"nosferatu, a symphony of horror",1922,97,art_house|international
5,the battle of algiers,1967,98,art_house|international
6,m,1931,100,art_house|international
7,seven samurai,1956,100,art_house|international
8,the 400 blows,1959,100,art_house|international
9,army of shadows,1969,97,art_house|international
10,rashômon,1951,98,art_house|international
11,the wages of fear,1953,100,art_house|international
12,open city,1946,100,art_house|international
13,tokyo story,1953,100,art_house|international
14,the leopard,1963,100,art_house|international
15,battleship potemkin,1925,100,art_house|international
16,the conformist,1970,98,art_house|international
17,au hasard balthazar,1966,100,art_house|international
18,things to come,2016,100,art_house|international
19,la dolce vita,1960,97,art_house|international
20,let the right one in,2008,98,art_house|international
21,playtime,1973,100,art_house|international
22,the discreet charm of the bourgeoisie,1972,98,art_house|international
23,the rules of the game,1939,98,art_house|international
24,faces places,2017,99,art_house|international
25,the passion of joan of arc,1928,98,art_house|international
26,only yesterday,1991,100,art_house|international
27,tampopo,1985,100,art_house|international
28,the salesman,2017,96,art_house|international
29,throne of blood,1957,98,art_house|international
30,a separation,2011,99,art_house|international
31,"aguirre, the wrath of god",1972,98,art_house|international
32,eyes without a face,1962,98,art_house|international
33,gloria,2014,99,art_house|international
34,8 1/2,1963,98,art_house|international
35,pather panchali,1955,98,art_house|international
36,the umbrellas of cherbourg,1964,98,art_house|international
37,a fantastic woman,2018,94,art_house|international
38,three colors: red,1994,100,art_house|international
39,my life as a zucchini,2017,98,art_house|international
40,le cercle rouge,1970,95,art_house|international
41,the tale of the princess kaguya,2014,100,art_house|international
42,amy,2015,95,art_house|international
43,bpm,2017,98,art_house|international
44,sing street,2016,95,art_house|international
45,ran,1985,96,art_house|international
46,a fistful of dollars,1964,98,art_house|international
47,gett: the trial of viviane amsalem,2015,100,art_house|international
48,solaris,1976,96,art_house|international
49,wings of desire,1987,98,art_house|international
50,the young girls of rochefort,1968,98,art_house|international
51,gojira,1956,93,art_house|international
52,"crouching tiger, hidden dragon",2001,97,art_house|international
53,timbuktu,2015,98,art_house|international
54,jiro dreams of sushi,2012,99,art_house|international
55,diva,1981,98,art_house|international
56,aruitemo aruitemo,2008,100,art_house|international
57,the taste of others,2000,100,art_house|international
58,all about my mother,1999,98,art_house|international
59,toni erdmann,2016,93,art_house|international
60,waste land,2010,100,art_house|international
61,the band's visit,2007,98,art_house|international
62,poetry,2011,100,art_house|international
63,the vanishing,1988,98,art_house|international
64,loveless,2018,94,art_house|international
65,elevator to the gallows,1958,93,art_house|international
66,god's own country,2017,97,art_house|international
67,afghan star,2009,100,art_house|international
68,a prophet,2010,97,art_house|international
69,waltz with bashir,2008,96,art_house|international
70,three colors: blue,1993,98,art_house|international
71,embrace of the serpent,2016,96,art_house|international
72,after the storm,2017,96,art_house|international
73,about elly,2015,99,art_house|international
74,fireworks wednesday,2016,100,art_house|international
75,last train home,2010,100,art_house|international
76,the seventh seal,1957,93,art_house|international
77,project nim,2011,97,art_house|international
78,monsieur lazhar,2012,97,art_house|international
79,mafioso,1964,96,art_house|international
80,maria full of grace,2004,97,art_house|international
81,hero,2004,95,art_house|international
82,an education,2009,95,art_house|international
83,nostalgia for the light,2011,100,art_house|international
84,amour,2012,93,art_house|international
85,l'avventura,1960,95,art_house|international
86,the look of silence,2015,96,art_house|international
87,rivers and tides: andy goldsworthy working with time,2002,99,art_house|international
88,moolaadé,2004,99,art_house|international
89,the class,2008,95,art_house|international
90,the man without a past,2002,98,art_house|international
91,the twilight samurai,2004,99,art_house|international
92,the kid with a bike,2012,96,art_house|international
93,this is not a film,2012,97,art_house|international
94,rififi,1956,94,art_house|international
95,the secret world of arrietty,2012,95,art_house|international
96,elle,2016,91,art_house|international
97,district 9,2009,90,art_house|international
98,ernest & célestine,2014,97,art_house|international
99,"sex, lies, and videotape",1989,96,art_house|international
100,the red turtle,2017,93,art_house|international
1,the wizard of oz,1939,98,classics
2,citizen kane,1941,100,classics
3,the third man,1949,99,classics
4,the cabinet of dr. caligari,1920,100,classics
5,all about eve,1950,100,classics
6,metropolis,1927,99,classics
7,it happened one night,1934,98,classics
8,modern times,1936,100,classics
9,casablanca,1942,97,classics
10,la grande illusion,1938,97,classics
11,singin' in the rain,1952,100,classics
12,psycho,1960,97,classics
13,laura,1944,100,classics
14,a hard day's night,1964,98,classics
15,king kong,1933,98,classics
