rank,title,year,rating,genres
77,the devil's candy,2017,91,horror
78,an american werewolf in london,1981,88,horror
79,near dark,1987,88,horror
80,poltergeist,1982,86,horror
81,henry: portrait of a serial killer,1986,86,horror
82,this is the end,2013,83,horror
83,chronicle,2012,85,horror
84,the descent,2006,85,horror
85,the omen,1976,86,horror
86,donnie darko: the director's cut,2004,90,horror
87,save the green planet,2004,90,horror
88,slither,2006,86,horror
89,ginger snaps,2001,89,horror
90,the autopsy of jane doe,2016,87,horror
91,a field in england,2014,88,horror
92,backcountry,2015,89,horror
93,goodnight mommy,2015,85,horror
94,altered states,1980,86,horror
95,the thing,1982,84,horror
96,better watch out,2017,88,horror
97,they live,1988,85,horror
98,the house of the devil,2009,87,horror
99,the conjuring 2,2016,80,horror
100,the others,2001,84,horror
1,the wizard of oz,1939,98,kids|family
2,inside out,2015,98,kids|family
3,e.t. the extra-terrestrial,1982,98,kids|family
4,coco,2017,97,kids|family
5,paddington 2,2018,100,kids|family
6,incredibles 2,2018,94,kids|family
7,snow white and the seven dwarfs,1937,98,kids|family
8,toy story 2,1999,100,kids|family
9,up,2009,98,kids|family
10,the jungle book,2016,95,kids|family
11,toy story 3,2010,98,kids|family
12,finding nemo,2003,99,kids|family
13,pinocchio,1940,100,kids|family
14,harry potter and the deathly hallows - part 2,2011,96,kids|family
15,toy story,1995,100,kids|family
16,the lego movie,2014,96,kids|family
17,moana,2016,95,kids|family
18,mary poppins,1964,100,kids|family
19,miracle on 34th street,1947,96,kids|family
20,it's a wonderful life,1946,93,kids|family
21,ratatouille,2007,96,kids|family
22,how to train your dragon,2010,98,kids|family
23,the incredibles,2004,97,kids|family
24,yellow submarine,1968,97,kids|family
25,paddington,2015,98,kids|family
26,beauty and the beast,1991,94,kids|family
27,chicken run,2000,97,kids|family
28,the princess bride,1987,97,kids|family
29,my life as a zucchini,2017,98,kids|family
30,101 dalmatians,1961,98,kids|family
31,the nightmare before christmas,1993,95,kids|family
32,big,1988,97,kids|family
33,fantasia,1940,96,kids|family
34,"monsters, inc.",2001,96,kids|family
35,the lego batman movie,2017,90,kids|family
36,the iron giant,1999,96,kids|family
37,spirited away,2002,97,kids|family
38,song of the sea,2014,99,kids|family
39,who framed roger rabbit,1988,97,kids|family
40,babe,1995,97,kids|family
41,the lion king,1994,93,kids|family
42,the muppets,2011,95,kids|family
43,about elly,2015,99,kids|family
44,wallace & gromit: the curse of the were-rabbit,2005,95,kids|family
45,my fair lady,1964,96,kids|family
46,the straight story,1999,96,kids|family
47,hugo,2011,93,kids|family
48,aladdin,1992,94,kids|family
49,fantastic mr. fox,2009,92,kids|family
50,enchanted,2007,93,kids|family
51,frozen,2013,90,kids|family
52,the breadwinner,2017,95,kids|family
53,coraline,2009,90,kids|family
54,lady and the tramp,1955,93,kids|family
55,antz,1998,93,kids|family
56,jason and the argonauts,1963,93,kids|family
57,how to train your dragon 2,2014,91,kids|family
58,bambi,1942,90,kids|family
59,the secret of roan inish,1995,95,kids|family
60,my neighbor totoro,1988,94,kids|family
61,big hero 6,2014,89,kids|family
62,harry potter and the prisoner of azkaban,2004,90,kids|family
63,the little mermaid,1989,92,kids|family
64,spy kids,2001,93,kids|family
65,how green was my valley,1941,90,kids|family
66,l'heure d'été,2009,94,kids|family
67,pete's dragon,2016,88,kids|family
68,a bug's life,1998,92,kids|family
69,princess mononoke,1999,92,kids|family
70,a monster calls,2017,86,kids|family
71,arthur christmas,2011,92,kids|family
72,harry potter and the goblet of fire,2005,88,kids|family
73,james and the giant peach,1996,92,kids|family
74,that thing you do!,1996,93,kids|family
75,teen titans go! to the movies,2018,91,kids|family
76,willy wonka and the chocolate factory,1971,91,kids|family
77,ponyo,2009,91,kids|family
78,shrek 2,2004,89,kids|family
79,tangled,2010,89,kids|family
80,first position,2012,93,kids|family
81,shrek,2001,88,kids|family
82,lassie,2006,93,kids|family
83,duma,2005,93,kids|family
84,winnie the pooh,2011,91,kids|family
85,rango,2011,88,kids|family
86,a christmas story,1983,89,kids|family
87,paranorman,2012,88,kids|family
88,the peanuts movie,2015,87,kids|family
89,the sound of music,1965,85,kids|family
90,kung fu panda,2008,87,kids|family
91,wreck-it ralph,2012,87,kids|family
92,millions,2005,88,kids|family
93,the secret of kells,2010,91,kids|family
94,howl's moving castle,2005,87,kids|family
95,cinderella,2015,84,kids|family
96,disneynature bears,2014,91,kids|family
97,the muppet movie,1979,88,kids|family
98,harry potter and the half-blood prince,2009,83,kids|family
99,the karate kid,1984,88,kids|family
100,freaky friday,2003,87,kids|family
1,the wizard of oz,1939,98,musical|performing_arts
2,singin' in the rain,1952,100,musical|performing_arts
3,a hard day's night,1964,98,musical|performing_arts
4,la la land,2016,91,musical|performing_arts
5,pinocchio,1940,100,musical|performing_arts
6,an american in paris,1951,95,musical|performing_arts
7,the red shoes,1948,96,musical|performing_arts
8,mary poppins,1964,100,musical|performing_arts
9,gentlemen prefer blondes,1953,98,musical|performing_arts
10,yellow submarine,1968,97,musical|performing_arts
11,the umbrellas of cherbourg,1964,98,musical|performing_arts
12,beauty and the beast,1991,94,musical|performing_arts
13,20 feet from stardom,2013,99,musical|performing_arts
14,the last waltz,1978,98,musical|performing_arts
15,amy,2015,95,musical|performing_arts
16,some like it hot,1959,96,musical|performing_arts
17,fantasia,1940,96,musical|performing_arts
18,sing street,2016,95,musical|performing_arts
19,the young girls of rochefort,1968,98,musical|performing_arts
20,once,2007,97,musical|performing_arts
21,anvil! the story of anvil,2009,98,musical|performing_arts
22,the lion king,1994,93,musical|performing_arts
23,waste land,2010,100,musical|performing_arts
24,west side story,1961,94,musical|performing_arts
25,amadeus,1984,94,musical|performing_arts
26,afghan star,2009,100,musical|performing_arts
27,hairspray,1988,98,musical|performing_arts
28,we are the best!,2014,96,musical|performing_arts
29,everyday sunshine: the story of fishbone,2011,100,musical|performing_arts
30,bill cunningham new york,2011,99,musical|performing_arts
31,my fair lady,1964,96,musical|performing_arts
32,rivers and tides: andy goldsworthy working with time,2002,99,musical|performing_arts
33,johnny guitar,1954,95,musical|performing_arts
34,what's love got to do with it?,1993,96,musical|performing_arts
35,aladdin,1992,94,musical|performing_arts
36,beware of mr. baker,2012,98,musical|performing_arts
37,sound city,2013,98,musical|performing_arts
38,nashville,1975,92,musical|performing_arts
39,keep on keepin' on,2014,98,musical|performing_arts
40,wordplay,2006,95,musical|performing_arts
41,49 up,2006,97,musical|performing_arts
42,the full monty,1997,96,musical|performing_arts
43,muscle shoals,2013,96,musical|performing_arts
44,marley,2012,95,musical|performing_arts
45,hairspray,2007,91,musical|performing_arts
46,searching for sugar man,2012,94,musical|performing_arts
47,les plages d'agnès,2008,96,musical|performing_arts
48,festival express,2003,96,musical|performing_arts
49,"20,000 days on earth",2014,95,musical|performing_arts
50,exit through the gift shop,2010,95,musical|performing_arts
51,funny girl,1968,93,musical|performing_arts
52,love & mercy,2015,90,musical|performing_arts
53,born into brothels,2004,95,musical|performing_arts
54,pina,2011,95,musical|performing_arts
55,crumb,1995,95,musical|performing_arts
56,the little mermaid,1989,92,musical|performing_arts
57,marina abramovic: the artist is present,2012,96,musical|performing_arts
58,los angeles plays itself,2003,96,musical|performing_arts
59,straight outta compton,2015,88,musical|performing_arts
60,lost in la mancha,2003,94,musical|performing_arts
61,lagaan: once upon a time in india,2001,95,musical|performing_arts
62,hedwig and the angry inch,2001,93,musical|performing_arts
63,crazy heart,2009,90,musical|performing_arts
64,my kid could paint that,2007,94,musical|performing_arts
65,end of the century: the story of the ramones,2004,95,musical|performing_arts
66,the wrecking crew,2015,94,musical|performing_arts
67,willy wonka and the chocolate factory,1971,91,musical|performing_arts
68,dave chappelle's block party,2006,92,musical|performing_arts
69,the filth and the fury,2000,95,musical|performing_arts
70,the sapphires,2013,91,musical|performing_arts
71,sing your song,2012,95,musical|performing_arts
72,tangled,2010,89,musical|performing_arts
73,a band called death,2013,94,musical|performing_arts
74,florence foster jenkins,2016,87,musical|performing_arts
75,my architect,2004,93,musical|performing_arts
76,little shop of horrors,1986,90,musical|performing_arts
77,every little step,2009,92,musical|performing_arts
78,u2 3d,2007,92,musical|performing_arts
79,sid and nancy,1986,88,musical|performing_arts
80,scratch,2002,93,musical|performing_arts
81,the sound of music,1965,85,musical|performing_arts
82,f for fake,1974,88,musical|performing_arts
83,ballets russes,2005,92,musical|performing_arts
84,standing in the shadows of motown,2002,91,musical|performing_arts
85,shine,1996,91,musical|performing_arts
86,born to be blue,2016,89,musical|performing_arts
87,five easy pieces,1970,87,musical|performing_arts
88,neil young: heart of gold,2006,90,musical|performing_arts
89,buena vista social club,1999,91,musical|performing_arts
90,topsy-turvy,1999,89,musical|performing_arts
91,chicago,2002,85,musical|performing_arts
92,sweeney todd: the demon barber of fleet street,2007,85,musical|performing_arts
93,the devil and daniel johnston,2006,89,musical|performing_arts
94,the muppet movie,1979,88,musical|performing_arts
95,caesar must die,2013,91,musical|performing_arts
96,metallica: some kind of monster,2004,89,musical|performing_arts
97,the punk singer,2013,90,musical|performing_arts
98,control,2007,88,musical|performing_arts
99,mamma mia! here we go again,2018,80,musical|performing_arts
100,beats rhymes & life: the travels of a tribe called quest,2011,90,musical|performing_arts
1,citizen kane,1941,100,mystery|suspense
2,get out,2017,98,mystery|suspense
3,the third man,1949,99,mystery|suspense
4,the cabinet of dr. caligari,1920,100,mystery|suspense
5,a quiet place,2018,95,mystery|suspense
6,spotlight,2015,97,mystery|suspense
7,arrival,2016,94,mystery|suspense
8,psycho,1960,97,mystery|suspense
9,laura,1944,100,mystery|suspense
10,the maltese falcon,1941,100,mystery|suspense
11,argo,2012,96,mystery|suspense
12,repulsion,1965,100,mystery|suspense
13,north by northwest,1959,99,mystery|suspense
14,rear window,1954,100,mystery|suspense
15,alien,1979,97,mystery|suspense
16,m,1931,100,mystery|suspense
17,taxi driver,1976,98,mystery|suspense
18,touch of evil,1958,96,mystery|suspense
19,hell or high water,2016,97,mystery|suspense
20,the babadook,2014,98,mystery|suspense
21,vertigo,1958,96,mystery|suspense
22,rebecca,1940,100,mystery|suspense
23,the night of the hunter,1955,98,mystery|suspense
24,rosemary's baby,1968,99,mystery|suspense
25,rashômon,1951,98,mystery|suspense
26,jaws,1975,97,mystery|suspense
27,the wages of fear,1953,100,mystery|suspense
28,l.a. confidential,1997,99,mystery|suspense
29,harry potter and the deathly hallows - part 2,2011,96,mystery|suspense
30,the big sleep,1946,97,mystery|suspense
31,the lady vanishes,1938,98,mystery|suspense
32,high noon,1952,96,mystery|suspense
33,skyfall,2012,92,mystery|suspense
34,"the godfather, part ii",1974,97,mystery|suspense
35,chinatown,1974,98,mystery|suspense
36,the post,2018,88,mystery|suspense
37,anatomy of a murder,1959,100,mystery|suspense
38,invasion of the body snatchers,1956,98,mystery|suspense
39,nightcrawler,2014,95,mystery|suspense
40,strangers on a train,1951,98,mystery|suspense
41,the 39 steps,1935,96,mystery|suspense
42,the salesman,2017,96,mystery|suspense
43,badlands,1974,98,mystery|suspense
44,the manchurian candidate,1962,98,mystery|suspense
45,eyes without a face,1962,98,mystery|suspense
46,freaks,1932,94,mystery|suspense
47,the conversation,1974,98,mystery|suspense
48,the silence of the lambs,1991,96,mystery|suspense
49,forbidden planet,1956,98,mystery|suspense
50,101 dalmatians,1961,98,mystery|suspense
51,goldfinger,1964,97,mystery|suspense
52,le cercle rouge,1970,95,mystery|suspense
53,sunrise: a song of two humans,1927,98,mystery|suspense
54,casino royale,2006,94,mystery|suspense
55,eye in the sky,2016,95,mystery|suspense
56,all is lost,2013,94,mystery|suspense
57,the guilty,2018,99,mystery|suspense
58,blood simple,1984,94,mystery|suspense
59,peeping tom,1960,96,mystery|suspense
60,assault on precinct 13,1976,98,mystery|suspense
61,no country for old men,2007,93,mystery|suspense
62,looper,2012,93,mystery|suspense
63,the birds,1963,96,mystery|suspense
64,halloween,1978,95,mystery|suspense
65,the fugitive,1993,96,mystery|suspense
66,bridge of spies,2015,91,mystery|suspense
67,mad max 2: the road warrior,1982,98,mystery|suspense
68,searching,2018,92,mystery|suspense
69,mandy,2018,92,mystery|suspense
70,who framed roger rabbit,1988,97,mystery|suspense
71,close encounters of the third kind,1977,96,mystery|suspense
72,diva,1981,98,mystery|suspense
73,dr. no,1962,96,mystery|suspense
74,ex machina,2015,92,mystery|suspense
75,sicario,2015,92,mystery|suspense
76,jurassic park,1993,91,mystery|suspense
77,don't look now,1973,96,mystery|suspense
78,10 cloverfield lane,2016,90,mystery|suspense
79,in the line of fire,1993,96,mystery|suspense
80,from russia with love,1964,96,mystery|suspense
81,the vanishing,1988,98,mystery|suspense
82,elevator to the gallows,1958,93,mystery|suspense
83,in the heat of the night,1967,96,mystery|suspense
84,wake in fright,2012,100,mystery|suspense
85,three colors: blue,1993,98,mystery|suspense
86,blue ruin,2014,96,mystery|suspense
87,the cabin in the woods,2012,91,mystery|suspense
88,the killer,1989,98,mystery|suspense
89,the bourne ultimatum,2007,92,mystery|suspense
90,to catch a thief,1955,95,mystery|suspense
91,gone girl,2014,87,mystery|suspense
92,the imitation game,2014,90,mystery|suspense
93,blue velvet,1986,94,mystery|suspense
94,l'avventura,1960,95,mystery|suspense
95,diabolique,1955,95,mystery|suspense
96,a girl walks home alone at night,2014,96,mystery|suspense
97,children of men,2006,92,mystery|suspense
98,wild tales,2015,95,mystery|suspense
99,you were never really here,2018,89,mystery|suspense
100,drag me to hell,2009,92,mystery|suspense
1,it happened one night,1934,98,romance
2,casablanca,1942,97,romance
3,the big sick,2017,98,romance
4,call me by your name,2018,95,romance
5,singin' in the rain,1952,100,romance
6,the shape of water,2017,92,romance
7,the adventures of robin hood,1938,100,romance
8,the philadelphia story,1940,100,romance
9,vertigo,1958,96,romance
10,on the waterfront,1954,98,romance
11,roman holiday,1953,98,romance
12,gone with the wind,1939,92,romance
13,an american in paris,1951,95,romance
14,carol,2015,94,romance
15,before midnight,2013,98,romance
16,the red shoes,1948,96,romance
17,the african queen,1951,98,romance
18,city lights,1931,98,romance
19,beauty and the beast,1946,95,romance
20,miracle on 34th street,1947,96,romance
21,annie hall,1977,97,romance
22,the artist,2011,95,romance
23,her,2013,94,romance
24,only yesterday,1991,100,romance
25,gentlemen prefer blondes,1953,98,romance
26,the umbrellas of cherbourg,1964,98,romance
27,beauty and the beast,1991,94,romance
28,three colors: red,1994,100,romance
29,the princess bride,1987,97,romance
30,the best years of our lives,1946,96,romance
31,bringing up baby,1938,95,romance
32,sunrise: a song of two humans,1927,98,romance
33,the hustler,1961,98,romance
34,before sunrise,1995,100,romance
35,sideways,2004,96,romance
36,the apartment,1960,94,romance
37,groundhog day,1993,96,romance
38,wings of desire,1987,98,romance
39,the young girls of rochefort,1968,98,romance
40,bull durham,1988,97,romance
41,"crouching tiger, hidden dragon",2001,97,romance
42,sense and sensibility,1995,98,romance
43,lost in translation,2003,95,romance
44,enough said,2013,95,romance
45,titanic,1997,89,romance
46,slumdog millionaire,2008,91,romance
47,west side story,1961,94,romance
48,elevator to the gallows,1958,93,romance
49,god's own country,2017,97,romance
50,your name.,2017,97,romance
51,three colors: blue,1993,98,romance
52,say anything...,1989,98,romance
53,to catch a thief,1955,95,romance
54,daughters of the dust,1991,98,romance
55,manhattan,1979,95,romance
56,a girl walks home alone at night,2014,96,romance
57,shakespeare in love,1998,92,romance
58,giant,1956,95,romance
59,up in the air,2009,91,romance
60,eternal sunshine of the spotless mind,2004,93,romance
61,the lunchbox,2014,96,romance
62,before sunset,2004,95,romance
63,dave,1993,95,romance
64,the town,2010,93,romance
65,midnight in paris,2011,93,romance
66,from here to eternity,1953,92,romance
67,four weddings and a funeral,1994,95,romance
68,a summer's tale,2014,98,romance
69,the crying game,1992,94,romance
70,enchanted,2007,93,romance
71,big night,1996,96,romance
72,howards end,1992,94,romance
73,million dollar baby,2004,91,romance
74,about a boy,2002,93,romance
75,the general,1927,94,romance
76,knocked up,2007,90,romance
77,monsoon wedding,2002,95,romance
78,masculin feminin,1966,92,romance
79,hamlet,1996,95,romance
80,revanche,2009,96,romance
81,to all the boys i've loved before,2018,96,romance
82,out of sight,1998,93,romance
83,the graduate,1967,89,romance
84,the remains of the day,1993,95,romance
85,strictly ballroom,1992,95,romance
86,the spectacular now,2013,92,romance
87,moonstruck,1987,93,romance
88,the little mermaid,1989,92,romance
89,the duke of burgundy,2015,94,romance
90,brief encounter,1945,90,romance
91,the piano,1993,92,romance
92,southside with you,2016,91,romance
93,y tu mama tambien,2001,92,romance
94,lone star,1996,94,romance
95,hannah and her sisters,1986,91,romance
96,crazy heart,2009,90,romance
97,kung fu hustle,2005,90,romance
98,open hearts,2002,95,romance
99,obvious child,2014,90,romance
100,husbands and wives,1992,93,romance
1,black panther,2018,97,science_fiction|fantasy
2,the wizard of oz,1939,98,science_fiction|fantasy
3,mad max: fury road,2015,97,science_fiction|fantasy
4,wonder woman,2017,93,science_fiction|fantasy
5,e.t. the extra-terrestrial,1982,98,science_fiction|fantasy
6,metropolis,1927,99,science_fiction|fantasy
7,arrival,2016,94,science_fiction|fantasy
8,star wars: the last jedi,2017,91,science_fiction|fantasy
9,logan,2017,93,science_fiction|fantasy
10,the shape of water,2017,92,science_fiction|fantasy
11,gravity,2013,96,science_fiction|fantasy
12,star wars: episode vii - the force awakens,2015,93,science_fiction|fantasy
13,"nosferatu, a symphony of horror",1922,97,science_fiction|fantasy
14,snow white and the seven dwarfs,1937,98,science_fiction|fantasy
15,thor: ragnarok,2017,92,science_fiction|fantasy
16,the bride of frankenstein,1935,100,science_fiction|fantasy
17,alien,1979,97,science_fiction|fantasy
18,toy story 2,1999,100,science_fiction|fantasy
19,spider-man: homecoming,2017,92,science_fiction|fantasy
20,war for the planet of the apes,2017,93,science_fiction|fantasy
21,toy story 3,2010,98,science_fiction|fantasy
22,dr. strangelove or how i learned to stop worrying and love the bomb,1964,99,science_fiction|fantasy
23,frankenstein,1931,100,science_fiction|fantasy
24,the dark knight,2008,94,science_fiction|fantasy
25,captain america: civil war,2016,91,science_fiction|fantasy
26,pinocchio,1940,100,science_fiction|fantasy
27,harry potter and the deathly hallows - part 2,2011,96,science_fiction|fantasy
28,aliens,1986,99,science_fiction|fantasy
29,toy story,1995,100,science_fiction|fantasy
30,ant-man and the wasp,2018,88,science_fiction|fantasy
31,star wars: episode iv - a new hope,1977,93,science_fiction|fantasy
32,wall-e,2008,96,science_fiction|fantasy
33,sorry to bother you,2018,93,science_fiction|fantasy
34,invasion of the body snatchers,1956,98,science_fiction|fantasy
35,star trek,2009,94,science_fiction|fantasy
36,kubo and the two strings,2016,97,science_fiction|fantasy
37,the terminator,1984,100,science_fiction|fantasy
38,marvel's the avengers,2012,92,science_fiction|fantasy
39,the martian,2015,91,science_fiction|fantasy
40,mary poppins,1964,100,science_fiction|fantasy
41,beauty and the beast,1946,95,science_fiction|fantasy
42,miracle on 34th street,1947,96,science_fiction|fantasy
43,star wars: episode v - the empire strikes back,1980,95,science_fiction|fantasy
44,snowpiercer,2014,95,science_fiction|fantasy
45,2001: a space odyssey,1968,93,science_fiction|fantasy
46,the discreet charm of the bourgeoisie,1972,98,science_fiction|fantasy
47,it's a wonderful life,1946,93,science_fiction|fantasy
48,blade runner 2049,2017,87,science_fiction|fantasy
49,her,2013,94,science_fiction|fantasy
50,how to train your dragon,2010,98,science_fiction|fantasy
51,avengers: infinity war,2018,84,science_fiction|fantasy
52,8 1/2,1963,98,science_fiction|fantasy
53,yellow submarine,1968,97,science_fiction|fantasy
54,guardians of the galaxy,2014,91,science_fiction|fantasy
55,beauty and the beast,1991,94,science_fiction|fantasy
56,iron man,2008,93,science_fiction|fantasy
57,the princess bride,1987,97,science_fiction|fantasy
58,forbidden planet,1956,98,science_fiction|fantasy
59,ghostbusters,1984,97,science_fiction|fantasy
60,the nightmare before christmas,1993,95,science_fiction|fantasy
61,big,1988,97,science_fiction|fantasy
62,pan's labyrinth,2006,95,science_fiction|fantasy
63,fantasia,1940,96,science_fiction|fantasy
64,the day the earth stood still,1951,94,science_fiction|fantasy
65,"monsters, inc.",2001,96,science_fiction|fantasy
66,doctor strange,2016,89,science_fiction|fantasy
67,x-men: days of future past,2014,90,science_fiction|fantasy
68,the lord of the rings: the two towers,2002,95,science_fiction|fantasy
69,live die repeat: edge of tomorrow,2014,90,science_fiction|fantasy
70,looper,2012,93,science_fiction|fantasy
71,back to the future,1985,96,science_fiction|fantasy
72,groundhog day,1993,96,science_fiction|fantasy
73,the iron giant,1999,96,science_fiction|fantasy
74,spirited away,2002,97,science_fiction|fantasy
75,solaris,1976,96,science_fiction|fantasy
76,wings of desire,1987,98,science_fiction|fantasy
77,gojira,1956,93,science_fiction|fantasy
78,dawn of the planet of the apes,2014,90,science_fiction|fantasy
79,song of the sea,2014,99,science_fiction|fantasy
80,mad max 2: the road warrior,1982,98,science_fiction|fantasy
81,annihilation,2018,89,science_fiction|fantasy
82,close encounters of the third kind,1977,96,science_fiction|fantasy
83,babe,1995,97,science_fiction|fantasy
84,ex machina,2015,92,science_fiction|fantasy
85,jurassic park,1993,91,science_fiction|fantasy
86,brazil,1985,98,science_fiction|fantasy
87,10 cloverfield lane,2016,90,science_fiction|fantasy
88,blade runner,1982,90,science_fiction|fantasy
89,repo man,1984,98,science_fiction|fantasy
90,jodorowsky's dune,2014,97,science_fiction|fantasy
91,the lord of the rings: the return of the king,2003,93,science_fiction|fantasy
92,the seventh seal,1957,93,science_fiction|fantasy
93,spider-man 2,2004,93,science_fiction|fantasy
94,captain america: the winter soldier,2014,89,science_fiction|fantasy
95,children of men,2006,92,science_fiction|fantasy
96,the secret world of arrietty,2012,95,science_fiction|fantasy
97,invasion of the body snatchers,1978,94,science_fiction|fantasy
98,the evil dead,1981,95,science_fiction|fantasy
99,district 9,2009,90,science_fiction|fantasy
100,eternal sunshine of the spotless mind,2004,93,science_fiction|fantasy
1,the bride of frankenstein,1935,100,special_interest
2,frankenstein,1931,100,special_interest
3,man on wire,2008,100,special_interest
4,life itself,2014,97,special_interest
5,miracle on 34th street,1947,96,special_interest
6,the discreet charm of the bourgeoisie,1972,98,special_interest
7,her,2013,94,special_interest
8,amy,2015,95,special_interest
9,taxi to the dark side,2007,100,special_interest
10,blackfish,2013,98,special_interest
11,murderball,2005,98,special_interest
12,groundhog day,1993,96,special_interest
13,inside job,2010,98,special_interest
14,jiro dreams of sushi,2012,99,special_interest
15,the square,2013,100,special_interest
16,hoop dreams,1994,98,special_interest
17,"mr. death: the rise and fall of fred a. leuchter, jr.",1999,100,special_interest
18,afghan star,2009,100,special_interest
19,capturing the friedmans,2003,97,special_interest
20,waltz with bashir,2008,96,special_interest
21,the overnighters,2014,99,special_interest
22,jodorowsky's dune,2014,97,special_interest
23,the interrupters,2011,99,special_interest
24,how to survive a plague,2012,99,special_interest
25,56 up,2013,99,special_interest
26,last train home,2010,100,special_interest
27,the invisible war,2012,99,special_interest
28,spellbound,2002,97,special_interest
29,enron: the smartest guys in the room,2005,97,special_interest
30,love is strange,2014,94,special_interest
31,the act of killing,2013,95,special_interest
32,this is not a film,2012,97,special_interest
33,elaine stritch: shoot me,2014,98,special_interest
34,the king of kong: a fistful of quarters,2007,97,special_interest
35,the fog of war: eleven lessons from the life of robert s. mcnamara,2003,96,special_interest
36,bowling for columbine,2002,95,special_interest
37,the imposter,2012,96,special_interest
38,the war tapes,2006,98,special_interest
39,cave of forgotten dreams,2011,96,special_interest
40,ai weiwei: never sorry,2012,97,special_interest
41,undefeated,2012,96,special_interest
42,l'année dernière à marienbad,1961,94,special_interest
43,sicko,2007,92,special_interest
44,mea maxima culpa: silence in the house of god,2012,98,special_interest
45,blindsight,2006,98,special_interest
46,the devil came on horseback,2007,98,special_interest
47,call me kuchu,2013,98,special_interest
48,for the bible tells me so,2007,98,special_interest
49,let the fire burn,2013,98,special_interest
50,restrepo,2010,96,special_interest
51,the life and times of hank greenberg,2000,97,special_interest
52,surfwise,2007,98,special_interest
53,bus 174,2003,97,special_interest
54,wordplay,2006,95,special_interest
55,control room,2004,96,special_interest
56,burma vj: reporter i et lukket land,2008,97,special_interest
57,no end in sight,2007,96,special_interest
58,49 up,2006,97,special_interest
59,winged migration,2003,95,special_interest
60,muscle shoals,2013,96,special_interest
61,the queen of versailles,2012,95,special_interest
62,marley,2012,95,special_interest
63,finding vivian maier,2014,95,special_interest
64,an inconvenient truth,2006,93,special_interest
65,a film unfinished,2010,97,special_interest
66,"bigger, stronger, faster*",2008,96,special_interest
67,sweetgrass,2009,97,special_interest
68,trouble the water,2008,96,special_interest
69,to be and to have,2003,97,special_interest
70,"food, inc.",2009,95,special_interest
71,the wild parrots of telegraph hill,2005,95,special_interest
72,chasing ice,2012,96,special_interest
73,"20,000 days on earth",2014,95,special_interest
74,exit through the gift shop,2010,95,special_interest
75,shaun of the dead,2004,92,special_interest
76,the gatekeepers,2013,94,special_interest
77,touching the void,2004,94,special_interest
78,born into brothels,2004,95,special_interest
79,crumb,1995,95,special_interest
80,i am divine,2013,96,special_interest
81,manakamana,2014,96,special_interest
82,deep water,2006,96,special_interest
83,the last of the unjust,2014,96,special_interest
84,cutie and the boxer,2013,95,special_interest
85,brooklyn castle,2012,96,special_interest
86,up the yangtze,2007,96,special_interest
87,good hair,2009,95,special_interest
88,5 broken cameras,2012,96,special_interest
89,national gallery,2014,95,special_interest
90,the salt of the earth,2015,94,special_interest
91,last days in vietnam,2014,95,special_interest
92,plagues & pleasures on the salton sea,2004,96,special_interest
93,promises,2002,96,special_interest
94,the arbor,2011,96,special_interest
95,the endurance,2001,95,special_interest
96,eraserhead,1977,91,special_interest
97,los angeles plays itself,2003,96,special_interest
98,super size me,2004,92,special_interest
99,my winnipeg,2007,94,special_interest
100,the story of the weeping camel,2004,94,special_interest
1,murderball,2005,98,sports|fitness
2,hoop dreams,1994,98,sports|fitness
3,when we were kings,1996,98,sports|fitness
4,the king of kong: a fistful of quarters,2007,97,sports|fitness
5,rocky,1976,93,sports|fitness
6,undefeated,2012,96,sports|fitness
7,the life and times of hank greenberg,2000,97,sports|fitness
8,surfwise,2007,98,sports|fitness
9,touching the void,2004,94,sports|fitness
10,red army,2015,94,sports|fitness
11,battle of the sexes,2017,85,sports|fitness
12,the fighter,2010,90,sports|fitness
13,the crash reel,2013,96,sports|fitness
14,sugar,2008,92,sports|fitness
15,the damned united,2009,92,sports|fitness
16,boxing gym,2010,95,sports|fitness
17,riding giants,2004,93,sports|fitness
18,senna,2011,92,sports|fitness
19,dogtown and z-boys,2001,92,sports|fitness
20,the color of money,1986,89,sports|fitness
21,tristram shandy: a cock & bull story,2005,89,sports|fitness
22,up for grabs,2005,92,sports|fitness
23,hoosiers,1986,88,sports|fitness
24,field of dreams,1989,86,sports|fitness
25,girlfight,2000,87,sports|fitness
26,the heart of the game,2005,87,sports|fitness
27,tyson,2009,85,sports|fitness
28,chariots of fire,1981,83,sports|fitness
29,the hurricane,1999,83,sports|fitness
30,looking for eric,2010,85,sports|fitness
31,the armstrong lie,2013,82,sports|fitness
32,major league,1989,82,sports|fitness
33,goon,2012,82,sports|fitness
34,beyond the mat,1999,82,sports|fitness
35,the boxer,1997,80,sports|fitness
36,invictus,2009,76,sports|fitness
37,fed up,2014,81,sports|fitness
38,a league of their own,1992,78,sports|fitness
39,step into liquid,2003,81,sports|fitness
40,once in a lifetime: the extraordinary story of the new york cosmos,2006,81,sports|fitness
41,stoked: the rise and fall of gator,2003,81,sports|fitness
42,talladega nights: the ballad of ricky bobby,2006,71,sports|fitness
43,invincible,2006,72,sports|fitness
44,gunnin' for that #1 spot,2008,74,sports|fitness
45,ultimate x: the movie,2002,74,sports|fitness
46,the blind side,2009,66,sports|fitness
47,more than a game,2009,71,sports|fitness
48,secretariat,2010,63,sports|fitness
49,dust to glory,2005,60,sports|fitness
