title,user_score,year,duration,country,usa_gross,world_gross
the tenants,52.0,2005,93,"USA, Germany",2010,2010
angels crest,58.0,2011,92,"Canada, UK",832,2037
murder.com,35.0,2008,85,Germany,2070,2070
red flag,55.0,2012,85,USA,2075,2075
rubberneck,53.0,2012,83,USA,2075,2075
dayveon,64.0,2017,75,USA,2077,2077
missionary,53.0,2013,90,USA,2120,2120
the velocity of gary,50.0,1998,100,USA,2143,2143
better living,44.0,1998,95,USA,2147,2147
the 4th tenor,53.0,2002,97,USA,2152,2152
side effects,49.0,2005,90,USA,2216,2216
virgil bliss,58.0,2001,93,USA,2219,2219
you wont miss me,49.0,2009,81,USA,2240,2240
memoria,51.0,2015,70,USA,2242,2242
red christmas,43.0,2016,82,Australia,2255,2255
the pool boys,47.0,2009,107,USA,2269,2269
goldie,53.0,2019,88,USA,2302,2302
the happy house,44.0,2013,81,USA,2311,2311
lotus eaters,51.0,2011,78,UK,2325,2325
who shot patakango?,45.0,1989,102,USA,2343,2343
oberst redl,76.0,1985,144,"Yugoslavia, Hungary, Austria, West Germany",2357,2357
the village barbershop,69.0,2008,99,USA,2359,2359
scissors,52.0,1991,105,USA,2368,2368
daniel & ana,62.0,2009,90,"Mexico, Spain",2372,2372
ek hazarachi note,73.0,2014,89,India,2404,2404
zig zag,59.0,2002,101,USA,2418,2418
l.a. slasher,33.0,2015,84,"USA, UK",2421,2421
the ghastly love of johnny x,56.0,2012,106,USA,2436,2436
motocross kids,39.0,2004,82,USA,2462,2462
breaking glass,69.0,1980,104,UK,2471,2471
the wait,48.0,2013,96,USA,2480,2480
mekong hotel,62.0,2012,61,"Thailand, UK",2502,2502
swing,54.0,2003,98,USA,2509,2509
miles,57.0,2016,90,USA,2537,2537
two-bit waltz,51.0,2014,81,USA,2540,2540
whatever happened to harold smith?,64.0,1999,95,"UK, USA",2543,2543
cassadaga,53.0,2011,108,USA,2544,2544
ginger snaps,68.0,2000,108,Canada,2554,2554
jeanne la pucelle i - les batailles,71.0,1994,160,France,2562,2562
hayride 2,29.0,2015,92,USA,2571,2571
mccanick,47.0,2013,96,USA,2572,2572
take me,61.0,2017,83,USA,2583,2583
hammer of the gods,45.0,2013,99,UK,641,2590
dead or alive: final,57.0,2002,89,Japan,2591,2591
jake squared,46.0,2013,100,USA,2592,2592
carl,27.0,2012,90,USA,2592,2592
conspiracy of silence,64.0,2003,90,"UK, USA",2598,2598
sparrows dance,67.0,2012,81,USA,2602,2602
ein leben lang kurze hosen tragen,69.0,2002,83,Germany,2609,2609
refuge,59.0,2012,84,USA,2631,2631
body,52.0,2015,75,USA,2634,2634
ni luo he nu er,71.0,1987,93,Taiwan,2640,2640
restitution,36.0,2011,101,USA,2664,2664
division 19,45.0,2017,93,"UK, USA",1699,2680
i shot a man in vegas,41.0,1995,86,USA,2684,2684
inspecteur lavardin,66.0,1986,100,"Switzerland, France",2685,2685
the boys in the band,76.0,1970,118,USA,2695,2695
eichmann,59.0,2007,96,"Hungary, UK",2706,2706
julia,45.0,2014,95,USA,2710,2710
the lesser blessed,62.0,2012,86,Canada,2732,2732
telling you,46.0,1998,94,USA,2735,2735
the blue tooth virgin,54.0,2008,80,USA,2762,2762
lush,50.0,2000,93,USA,2763,2763
approaching midnight,42.0,2013,86,USA,2795,2795
okraina,78.0,1998,95,Russia,2797,2797
lower learning,40.0,2008,97,USA,2804,2804
heaven,65.0,1998,103,"New Zealand, USA",2838,2838
three days of rain,55.0,2002,98,USA,2841,2841
"on the other hand, death",63.0,2008,86,"Canada, USA",2892,2892
demons,48.0,2017,105,USA,2900,2900
mercy,54.0,1995,85,USA,2967,2967
dog lover's symphony,26.0,2006,103,USA,2968,2968
philadelphia experiment ii,45.0,1993,97,USA,2970,2970
the lie,51.0,2011,80,USA,3000,3000
zokkomon,41.0,2011,109,India,3000,3000
15,57.0,2005,95,Romania,3013,3013
fremde haut,70.0,2005,97,"Germany, Austria",3025,3025
shopping,54.0,1994,105,"UK, Japan",3061,3061
spiral,64.0,2007,90,USA,3072,3072
oxygen,61.0,1999,92,USA,3088,3088
sex and the future,19.0,2020,90,USA,3101,3101
the feud,58.0,1989,97,USA,3102,3102
nowhere man,37.0,2005,78,USA,3105,3105
thursday,72.0,1998,87,USA,3121,3121
the girl on the train,43.0,2014,80,USA,3124,3124
american zombie,50.0,2007,90,"USA, South Korea",3126,3126
snowman's land,61.0,2010,95,Germany,1190,3128
four eyed monsters,62.0,2005,85,USA,3135,3135
balls to the wall,38.0,2011,85,USA,3140,3140
the boys,71.0,1998,86,Australia,3146,3146
apart,54.0,2011,85,USA,3161,3161
detroit 9000,64.0,1973,106,USA,3179,3179
after the wizard,28.0,2011,80,USA,3184,3184
the work and the story,57.0,2003,77,USA,3233,3233
as cool as i am,58.0,2013,92,USA,3234,3234
gooby,31.0,2009,95,Canada,3234,3234
