title,user_score,year,duration,country,usa_gross,world_gross
le amiche,72.0,1955,104,Italy,68167,68167
10x10,50.0,2018,88,UK,2263,68260
bloodline,58.0,2008,113,USA,64698,68462
outside in,67.0,2017,109,USA,68492,68492
cowboys and angels,60.0,2000,97,USA,33941,68568
wildflower,53.0,2014,92,USA,18062,68577
mastizaade,23.0,2016,119,India,43403,68583
sous le soleil de satan,68.0,1987,98,France,68765,68765
my entire high school sinking into the sea,60.0,2016,75,USA,68883,68883
lo sceicco bianco,72.0,1952,86,Italy,50850,68940
les parapluies de cherbourg,78.0,1964,91,"France, West Germany",28030,68991
august,60.0,1996,94,"UK, USA",69081,69081
bajatey raho,53.0,2013,107,India,55397,69085
behind the mask: the rise of leslie vernon,67.0,2006,92,USA,69136,69136
white on rice,62.0,2009,83,USA,69171,69171
les filles ne savent pas nager,59.0,2000,102,France,69250,69250
siddharth,73.0,2013,96,"Canada, India",60537,69310
wild geese ii,48.0,1985,125,"UK, Australia",69342,69342
dark matter,60.0,2007,88,USA,30591,69379
back to the jurassic,49.0,2015,86,USA,4351,69423
dopamine,59.0,2003,79,USA,69544,69544
mga munting tinig,69.0,2002,109,Philippines,69739,69739
take out,69.0,2004,87,USA,69816,69816
la historia oficial,77.0,1985,112,Argentina,29426,69832
ayneh,75.0,1997,95,Iran,69915,69915
manic,73.0,2001,100,USA,69958,69958
wastelander,26.0,2018,90,USA,70045,70045
manifesto,62.0,1988,96,USA,70060,70060
cavite,62.0,2005,80,"Philippines, USA",70071,70071
kohram,54.0,1999,150,India,70257,70257
the secret adventures of tom thumb,72.0,1993,60,UK,70441,70441
go for sisters,63.0,2013,123,USA,70495,70495
raising flagg,54.0,2006,103,USA,4130,70528
snipes,55.0,2001,113,USA,70569,70569
seasons of gray,67.0,2013,90,USA,70605,70605
how to build a girl,57.0,2019,102,UK,70632,70632
sang sattawat,74.0,2006,105,"Thailand, France, Austria",16675,70649
4:44 last day on earth,46.0,2011,82,"USA, Switzerland, France",17801,70851
the better angels,61.0,2014,95,USA,70918,70918
todo el poder,66.0,2000,105,Mexico,70920,70920
it runs in the family,56.0,1994,85,USA,70936,70936
freaks of nature,59.0,2015,92,USA,70958,70958
rosencrantz and guildenstern are undead,50.0,2009,89,USA,71007,71007
boricua's bond,38.0,2000,105,USA,71046,71046
plump fiction,27.0,1997,82,USA,71145,71145
the search for one-eye jimmy,62.0,1994,80,USA,71314,71314
a troll in central park,54.0,1994,76,"Ireland, USA",71368,71368
the congressman,63.0,2016,98,USA,71451,71451
herman u.s.a.,62.0,2001,89,USA,71509,71509
dummy,67.0,2002,91,USA,71646,71646
new suit,58.0,2002,94,USA,71743,71743
as i lay dying,54.0,2013,110,USA,16697,71759
umberto d.,82.0,1952,89,Italy,71816,71816
an oversimplification of her beauty,63.0,2012,84,USA,71906,71906
das zimmermädchen lynn,60.0,2014,90,Germany,315,71918
"léon morin, prêtre",76.0,1961,117,"France, Italy",72078,72078
loving jezebel,56.0,1999,87,USA,72190,72190
dorian blues,66.0,2004,88,USA,72234,72234
eye of the dolphin,57.0,2006,102,USA,72210,72310
brighton rock,74.0,1948,92,UK,49466,72434
stiff upper lips,64.0,1998,94,"UK, India",72482,72482
mávahlátur,68.0,2001,102,"Iceland, Germany, UK",72527,72527
come away home,67.0,2005,102,USA,72810,72810
buster's mal heart,61.0,2017,96,USA,73121,73121
when the whales came,62.0,1989,100,UK,73131,73131
the theory of flight,65.0,1998,101,UK,73233,73233
te ata,67.0,2016,105,USA,73236,73236
vengeance: a love story,52.0,2017,99,USA,4526,73270
otets i syn,65.0,2003,97,"Russia, Germany, Italy, Netherlands, France",39291,73351
primal rage,49.0,2018,106,USA,21497,73383
a four letter word,54.0,2007,87,USA,72568,73445
on the ice,63.0,2011,96,USA,73492,73492
how to kill your neighbor's dog,69.0,2000,107,"Germany, USA",49894,73510
captive hearts,60.0,1987,97,Canada,73757,73757
love n' dancing,54.0,2009,91,USA,47812,73848
the keeping room,60.0,2014,95,USA,27166,73922
"the beans of egypt, maine",53.0,1994,99,USA,73956,73956
the boy downstairs,57.0,2017,91,USA,13638,73988
virtual sexuality,50.0,1999,92,UK,74007,74007
emporte-moi,69.0,1999,95,"Canada, Switzerland, France",74052,74052
kreuzweg,74.0,2014,110,"Germany, France",1505,74509
hadewijch,67.0,2009,105,France,5006,74586
the war within,68.0,2005,90,USA,74655,74655
the monster,54.0,2016,91,Canada,12544,74700
o ornitólogo,63.0,2016,117,"Portugal, France, Brazil",50511,74714
august evening,69.0,2007,128,USA,74759,74759
ghost town,54.0,1988,85,USA,75000,75000
an everlasting piece,63.0,2000,103,USA,75228,75228
restaurant,60.0,1998,107,USA,75232,75232
hum to mohabbat karega,28.0,2000,153,India,75446,75446
swim little fish swim,65.0,2013,95,"USA, France",3877,75504
the riot act,44.0,2018,101,USA,75506,75506
touch me not,59.0,2018,123,"Romania, Germany, Czech Republic, Bulgaria, France",13782,75507
"fin août, début septembre",70.0,1998,112,France,69400,75622
happy together,60.0,1989,102,USA,70912,75657
"bert rigby, you're a fool",60.0,1989,94,USA,75868,75868
greener grass,63.0,2019,95,USA,51456,76045
office killer,51.0,1997,82,USA,76054,76054
night catches us,62.0,2010,90,USA,76185,76185
after midnight,56.0,1989,90,USA,76325,76325
speaking parts,67.0,1989,93,"Canada, UK, Italy",76609,76609
how the west was won,71.0,1962,164,USA,76729,76729
fast color,60.0,2018,100,USA,76916,76916
parchi,57.0,2018,137,Pakistan,69431,77110
breaking upwards,62.0,2009,88,USA,77389,77389
finding amanda,55.0,2008,96,USA,57297,77410
the art of the steal,63.0,2013,90,"Canada, USA",64065,77450
shurayukihime,57.0,2001,92,Japan,77567,77567
chevalier,63.0,2015,105,"Greece, Germany",25696,77590
table no.21,71.0,2013,108,India,46720,77621
ping pong playa,59.0,2007,96,USA,77907,77907
homegrown,58.0,1998,102,USA,77910,77910
généalogies d'un crime,66.0,1997,114,"France, Portugal",77998,77998
jodi breakers,35.0,2012,127,India,52618,78024
hardbodies 2,32.0,1986,88,USA,78068,78068
the neon bible,62.0,1995,91,"UK, Spain",78072,78072
un traductor,70.0,2018,107,"Cuba, Canada",13509,78075
des nouvelles de la planète mars,61.0,2016,101,"France, Belgium",310,78132
volere volare,67.0,1991,94,Italy,78144,78144
anesthesia,61.0,2015,90,USA,32163,78270
bugs bunny's 3rd movie: 1001 rabbit tales,71.0,1982,74,USA,78350,78350
blackbird,55.0,2014,99,USA,78400,78400
the boxcar children: surprise island,48.0,2018,81,USA,78676,78676
cristo si è fermato a eboli,77.0,1979,150,"Italy, France",78736,78736
ich und er,44.0,1988,93,"West Germany, USA, UK",78814,78814
fort mccoy,59.0,2011,100,USA,78948,78948
concussion,57.0,2013,96,USA,42606,78957
steal this movie,65.0,2000,107,USA,76424,79088
jayne mansfield's car,63.0,2012,122,"USA, Russia",14836,79178
the strange case of dr. jekyll and mr. hyde,38.0,2006,89,USA,24216,79226
last resort,72.0,2000,73,UK,37283,79238
cover,55.0,2007,98,USA,79436,79436
suits on the loose,53.0,2005,94,USA,79470,79470
tesla,51.0,2020,102,USA,76263,79603
fin de siglo,69.0,2019,84,Argentina,66309,79607
camp x-ray,69.0,2014,117,USA,13302,79624
ripe,46.0,1996,92,USA,79727,79727
made-up,60.0,2002,96,USA,79766,79766
le septième ciel,64.0,1997,91,France,79808,79808
en el séptimo día,69.0,2017,92,USA,79887,79887
jack paradise (les nuits de montréal),58.0,2004,90,Canada,79974,79974
gerontophilia,63.0,2013,82,Canada,4916,80038
ramaiya vastavaiya,56.0,2013,148,India,80108,80108
inhale,66.0,2010,83,USA,4115,80112
mannat,67.0,2006,165,India,53589,80119
the mysteries of pittsburgh,54.0,2008,95,"USA, Bahrain",80283,80283
sånger från andra våningen,76.0,2000,98,"Sweden, Norway, Denmark",80334,80334
böse zellen,63.0,2003,120,"Austria, Germany, Switzerland",1443,80371
"je t'aime, je t'aime",72.0,1968,94,France,71717,80393
always kabhi kabhi,40.0,2011,126,India,21381,80546
koroshiya 1,70.0,2001,129,Japan,20285,80631
winnie,60.0,2011,104,"South Africa, Canada",80634,80634
ms. purple,61.0,2019,87,USA,80657,80657
nasty baby,57.0,2015,101,"USA, Chile",79800,80772
slappy and the stinkers,50.0,1998,78,USA,80837,80837
the day,52.0,2011,87,USA,20984,80848
chrystal,66.0,2004,106,USA,80858,80858
brother to brother,71.0,2004,94,USA,80906,80906
woman walks ahead,66.0,2017,101,USA,57528,80912
yomeddine,72.0,2018,97,"Egypt, Austria, USA",11308,81030
vaastav: the reality,80.0,1999,145,India,81367,81367
the girl in the book,61.0,2015,86,USA,8245,81379
standard time,61.0,2002,102,USA,81451,81451
inkubus,39.0,2011,80,USA,81600,81600
king cobra,56.0,2016,91,USA,81757,81757
best man in grass creek,58.0,1999,88,USA,81760,81760
naked tango,60.0,1990,90,"Switzerland, Argentina, Japan, USA",81777,81777
bhavesh joshi superhero,76.0,2018,154,India,57376,81792
ballast,69.0,2008,96,USA,77556,81864
killer: a journal of murder,63.0,1995,91,USA,82029,82029
water & power,49.0,2013,88,USA,82312,82312
humboldt county,64.0,2008,97,USA,82357,82357
picnic at hanging rock,75.0,1975,115,Australia,49582,82361
comoara,67.0,2015,89,"Romania, France",50203,82392
v/h/s viral,42.0,2014,81,"USA, Spain",2756,82409
taxidermia,69.0,2006,91,"Hungary, Austria, France",11408,82567
hanussen,72.0,1988,140,"Hungary, West Germany, Austria",82635,82635
alien abduction,49.0,2014,85,USA,12897,82725
at middleton,65.0,2013,99,USA,53837,82993
hateship loveship,61.0,2013,104,USA,54030,83008
the kindness of strangers,59.0,2019,112,"Denmark, Canada, Sweden, France, Germany, UK, USA",2705,83042
z,83.0,1969,127,"France, Algeria",83305,83305
the treatment,58.0,2006,86,USA,83354,83354
abcd,56.0,1999,105,USA,83372,83372
save me,67.0,2007,96,USA,83397,83397
after school special,47.0,2003,90,"Germany, USA",26511,83439
he was a quiet man,68.0,2007,100,USA,2431,83440
the real blonde,60.0,1997,105,USA,83488,83488
fools of fortune,56.0,1990,109,UK,83490,83490
"nico, 1988",67.0,2017,93,"Italy, Belgium",73304,83558
why me?,62.0,1990,87,USA,83882,83882
"me & you, us, forever",38.0,2008,92,USA,84093,84093
chapter & verse,63.0,2017,97,USA,84147,84147
heaven knows what,68.0,2014,97,USA,80734,84417
brothers of the head,64.0,2005,93,UK,45082,84425
mozart and the whale,69.0,2005,94,USA,36006,84447
the pickle,43.0,1993,103,USA,84471,84471
decoys,46.0,2004,95,Canada,84733,84733
wilder napalm,56.0,1993,109,USA,84859,84859
king lear,57.0,1987,90,"USA, Bahamas, France, Switzerland",61821,85018
deal,54.0,2008,85,USA,61626,85076
mind games,57.0,1989,93,USA,85085,85085
chicago joe and the showgirl,50.0,1990,103,UK,85395,85395
an almost perfect affair,52.0,1979,93,USA,85493,85493
return to the hiding place,48.0,2013,102,USA,45405,85698
where's the party yaar?,49.0,2003,110,USA,85739,85739
color of the cross,29.0,2006,108,USA,85802,85802
la baie des anges,73.0,1963,90,"France, Monaco",85840,85840
easy,58.0,2003,99,USA,21589,86061
second best,68.0,1994,105,"UK, USA",86115,86115
prey for rock & roll,62.0,2003,104,USA,58040,86277
the ride,65.0,1997,101,USA,86307,86307
vault,54.0,2019,99,USA,29491,86741
singularity,38.0,2017,92,"Switzerland, USA",4176,86822
ecco,48.0,2019,123,USA,86858,86858
the zodiac,54.0,2005,92,USA,45148,86872
kahin pyaar na ho jaaye,44.0,2000,159,India,87000,87000
first morning,67.0,2003,89,USA,87264,87264
borstal boy,68.0,2000,91,"UK, Ireland",87400,87400
frisk,50.0,1995,88,USA,87433,87433
butterfly kiss,63.0,1995,88,UK,87626,87626
slava,76.0,2016,101,"Bulgaria, Greece",18415,87728
hyena road,65.0,2015,120,Canada,1430,87768
seeing other people,58.0,2004,90,USA,87923,87923
little chenier,70.0,2006,120,USA,87939,87939
funny ha ha,65.0,2002,85,USA,77070,88078
jewtopia,44.0,2012,90,USA,46437,88327
crazy on the outside,55.0,2010,96,USA,88335,88335
anthony kaun hai?,53.0,2006,127,India,55418,88420
diamonds,55.0,1999,91,"Germany, USA",88428,88428
de la guerre,62.0,2008,130,France,5086,88512
let him have it,72.0,1991,115,"UK, France",88686,88686
home movies,52.0,1979,90,USA,89134,89134
salvation boulevard,53.0,2011,96,USA,28468,89182
national theatre live: cat on a hot tin roof,77.0,2018,185,UK,89332,89332
somebody up there likes me,58.0,2012,76,USA,89435,89435
mystery team,67.0,2009,97,USA,89442,89442
oy vey! my son is gay!!,51.0,2009,90,USA,89507,89507
twenty bucks,63.0,1993,91,USA,89558,89558
imaginary crimes,64.0,1994,107,USA,89611,89611
eulogy,66.0,2004,91,"UK, Germany, USA",75076,89781
couleur de peau: miel,72.0,2012,70,"France, Belgium, South Korea, Switzerland",4015,89801
u-neun nam-ja,68.0,2014,116,South Korea,63063,89813
running for grace,61.0,2018,110,USA,89988,89988
johnny suede,58.0,1991,97,"Switzerland, France, USA",90091,90091
king's faith,65.0,2013,108,USA,90106,90106
adrift in manhattan,55.0,2007,91,USA,2099,90272
raining stones,74.0,1993,90,UK,89388,90602
ikiru,83.0,1952,143,Japan,60239,90773
beasts of no nation,77.0,2015,137,USA,90777,90777
heropanti,53.0,2014,146,India,63649,90785
ek khiladi ek haseena,57.0,2005,143,India,90869,90869
because of grácia,63.0,2017,107,USA,90878,90878
mapplethorpe,61.0,2018,102,USA,91002,91002
le doulos,78.0,1962,108,"France, Italy",82772,91007
a kind of murder,53.0,2016,95,USA,2915,91149
morris from america,62.0,2016,91,"Germany, USA",91151,91151
evil bong 3: the wrath of bong,38.0,2011,87,USA,91260,91260
be with me,70.0,2005,93,Singapore,1365,91297
other people,68.0,2016,97,USA,91441,91441
a show of force,53.0,1990,95,USA,91578,91578
twentyfourseven,71.0,1997,96,UK,91805,91805
nancy,62.0,2018,85,USA,80115,92000
beowulf & grendel,58.0,2005,104,"Canada, UK, Iceland, USA, Australia",68820,92076
into the forest,58.0,2015,101,Canada,9995,92166
miss juneteenth,61.0,2020,99,USA,92349,92349
julien donkey-boy,69.0,1999,94,USA,85400,92442
in custody,71.0,1994,126,"UK, India",92612,92612
the first time,68.0,2012,95,USA,22836,92654
a man called sarge,49.0,1990,88,USA,92706,92706
haiku tunnel,62.0,2001,88,USA,92723,92723
vamps,52.0,2012,92,USA,3361,92748
un air de famille,75.0,1996,110,France,92806,92806
ming tian ji de ai shang wo,66.0,2013,104,Taiwan,6694,93046
the inner circle,71.0,1991,137,"Italy, Soviet Union, USA",93292,93292
flavors,72.0,2003,118,USA,93370,93370
laissez bronzer les cadavres,63.0,2017,92,"France, Belgium",93409,93409
blue caprice,60.0,2013,93,USA,93995,93995
escaflowne,67.0,2000,98,Japan,94060,94060
keep watching,43.0,2017,89,USA,94178,94178
the fight within,54.0,2016,94,USA,94326,94326
jin-rô,74.0,1999,102,Japan,94591,94591
the hebrew hammer,61.0,2003,85,USA,82157,94615
animals,63.0,2014,90,USA,21821,94646
papi chulo,64.0,2018,98,"Ireland, UK",84703,94702
saala khadoos,76.0,2016,109,India,76931,94787
almost you,51.0,1985,96,USA,95000,95000
the pool,71.0,2007,98,USA,95102,95102
queen of earth,63.0,2015,90,"USA, Greece",91218,95183
made in u.s.a,64.0,1966,90,France,95209,95209
the final wish,42.0,2018,95,USA,25183,95215
code inconnu: récit incomplet de divers voyages,72.0,2000,118,"France, Austria, Romania, Germany",95242,95242
classe tous risques,75.0,1960,110,"France, Italy",95413,95413
kehtaa hai dil baar baar,47.0,2002,119,"India, USA",95415,95415
el ardor,51.0,2014,101,"Mexico, Argentina",18565,95549
signs of life,61.0,1989,90,USA,95836,95836
eisenstein in guanajuato,62.0,2015,105,"Netherlands, Belgium, Finland, Mexico, France",34282,95860
les chevaux de dieu,72.0,2012,115,"France, Belgium, Tunisia, Morocco",14817,96277
greetings from the shore,59.0,2007,116,USA,96314,96314
kabluey,66.0,2007,86,USA,83506,96663
hardflip,56.0,2012,112,USA,96734,96734
a little help,56.0,2010,109,USA,96868,96868
mulberry st,55.0,2006,84,USA,97182,97182
tooth and nail,48.0,2007,94,USA,97182,97182
lake dead,41.0,2007,90,USA,97182,97182
unearthed,40.0,2007,93,USA,97182,97182
crazy eights,39.0,2006,80,USA,97182,97182
nightmare man,40.0,2006,89,USA,97182,97182
a field in england,63.0,2013,90,UK,32846,97195
prassthanam,59.0,2019,141,India,19984,97204
difret,68.0,2014,99,"Ethiopia, USA",49667,97205
grzeli nateli dgeebi,76.0,2013,102,"Georgia, Germany, France",56092,97236
iedereen beroemd!,69.0,2000,97,"Belgium, Netherlands, France",81734,97353
d.e.b.s.,53.0,2004,91,USA,97446,97446
the last winter,56.0,2006,101,"USA, Iceland",33190,97522
"tim timmerman, hope of america",55.0,2017,94,USA,97727,97727
schlafes bruder,70.0,1995,127,Germany,97848,97848
red doors,64.0,2005,90,USA,97848,97848
the wicker man,75.0,1973,88,UK,60891,98201
les demoiselles de rochefort,77.0,1967,120,France,91837,98221
charlie says,58.0,2018,110,USA,40685,98240
blind,58.0,2017,98,USA,12522,98280
"martha - meet frank, daniel and laurence",64.0,1998,88,UK,98378,98378
rak ti khon kaen,68.0,2015,122,"Thailand, UK, Germany, France, Malaysia, South Korea, Mexico, USA, Norway",51950,98932
"i love you, don't touch me!",50.0,1997,86,USA,98973,98973
carnages,62.0,2002,130,"France, Belgium, Spain, Switzerland",60158,99049
'r xmas,58.0,2001,85,"USA, France",850,99080
cold heaven,52.0,1991,105,USA,99219,99219
kings of the evening,59.0,2008,99,USA,99270,99270
the stars fell on henrietta,66.0,1995,109,USA,99318,99318
hiroshima mon amour,79.0,1959,90,"France, Japan",96439,99632
la ley del deseo,71.0,1987,102,Spain,72442,99675
un lugar en el mundo,78.0,1992,120,"Argentina, Spain, Uruguay",99707,99707
the telephone,45.0,1988,96,USA,99978,99978
being cyrus,72.0,2005,90,India,100184,100184
race for glory,62.0,1989,104,USA,100326,100326
all about nina,60.0,2018,97,USA,100335,100335
sade,61.0,2000,100,France,100544,100544
desert blue,62.0,1998,90,USA,100590,100590
self medicated,57.0,2005,107,USA,100610,100610
une femme est une femme,75.0,1961,85,"France, Italy",100665,100665
the good guy,58.0,2009,90,USA,100688,100688
the silencing,61.0,2020,93,"Canada, USA",100746,100746
the adventures of sebastian cole,67.0,1998,99,USA,100841,100841
khauff,45.0,2000,124,India,100975,100975
dum,56.0,2003,166,India,101000,101000
first cow,71.0,2019,122,USA,101068,101068
totally f***ed up,64.0,1993,78,USA,101071,101071
feed the fish,61.0,2010,92,USA,101170,101170
the house of the devil,64.0,2009,95,USA,101215,101215
james white,71.0,2015,85,USA,101368,101368
man from reno,67.0,2014,111,USA,101438,101438
kickboxer: retaliation,50.0,2018,110,USA,4537,101690
rubber,58.0,2010,82,"France, Angola",100370,101729
kill me three times,59.0,2014,90,"USA, Australia",24296,101807
the kitchen toto,62.0,1987,96,UK,101807,101807
cracks,67.0,2009,104,"UK, Ireland, Spain, France, Switzerland",29683,101860
in the family,69.0,2011,169,USA,101934,101934
never rarely sometimes always,73.0,2020,101,"UK, USA",16565,101982
lucky grandma,65.0,2019,87,USA,102000,102000
the return,49.0,2006,105,USA,102171,102171
tanna,69.0,2015,104,"Australia, Vanuatu",46654,102225
sweet nothing,60.0,1995,89,USA,102350,102350
güeros,75.0,2014,106,Mexico,60114,102354
pure,69.0,2002,96,UK,102471,102471
islander,65.0,2006,100,USA,102737,102737
suture,66.0,1993,96,USA,102780,102780
brake,61.0,2012,92,USA,4876,102819
the moguls,63.0,2005,96,"USA, Germany",16334,102864
puerto ricans in paris,53.0,2015,82,USA,102890,102890
life's a breeze,63.0,2013,83,"Ireland, Sweden",3450,103118
rolling,55.0,2007,90,USA,103318,103318
frankie starlight,65.0,1995,101,"Ireland, UK, France, USA",103365,103365
30 years to life,59.0,2001,110,USA,103540,103540
the investigator,55.0,2013,101,USA,103739,103739
world traveler,54.0,2001,103,"Canada, USA",103863,103863
lola,75.0,1961,90,"France, Italy",103951,103951
2 ou 3 choses que je sais d'elle,68.0,1967,87,France,104038,104038
demon,61.0,2015,94,"Poland, Israel",104038,104038
xx/xy,59.0,2002,91,USA,104130,104130
la montaña sagrada,79.0,1973,114,Mexico,61001,104160
little men,62.0,1998,98,Canada,104255,104255
human traffic,71.0,1999,99,"UK, Ireland",104257,104257
big bad love,60.0,2001,111,USA,104294,104294
results,54.0,2015,105,USA,104507,104507
alien trespass,57.0,2009,90,"USA, Canada",104526,104526
band baaja baaraat,72.0,2010,139,India,43820,104532
dictator,42.0,2016,155,India,104734,104734
another gay sequel: gays gone wild!,40.0,2008,99,"USA, Germany",104828,104828
the girl,46.0,2000,84,"USA, France",104883,104883
never heard,53.0,2018,89,USA,105271,105271
tortilla heaven,53.0,2007,98,USA,105401,105401
the million dollar hotel,59.0,2000,122,"Germany, UK, USA",59989,105983
bande à part,77.0,1964,95,France,66660,106074
shattered image,49.0,1998,102,"USA, Canada, UK",106116,106116
six dance lessons in six weeks,66.0,2014,107,"Hungary, USA",106323,106323
charmøren,66.0,2017,100,"Denmark, Sweden",26167,106379
wrong,63.0,2012,94,"France, USA",46021,106425
the alphabet killer,52.0,2008,98,USA,29784,106596
the secret agent,57.0,1996,95,UK,106606,106606
ed's next move,62.0,1996,88,USA,106791,106791
the tales of hoffmann,72.0,1951,133,UK,91930,106860
jeruzalem,48.0,2015,94,Israel,11287,107024
porto,61.0,2016,76,"Portugal, France, Poland, USA",15126,107062
a slipping-down life,62.0,1999,109,USA,107099,107099
mia aioniotita kai mia mera,79.0,1998,137,"France, Italy, Greece, Germany",107178,107178
marebito,61.0,2004,92,Japan,13983,107259
"no date, no signature",72.0,2017,99,Iran,36444,107368
sleep dealer,60.0,2008,90,Mexico,80136,107559
ha-kochavim shel shlomi,75.0,2003,94,Israel,107585,107585
l'enlèvement de michel houellebecq,68.0,2014,96,France,11546,107641
crush,61.0,1992,97,New Zealand,107792,107792
mad dog time,55.0,1996,93,USA,107874,107874
slayground,50.0,1983,89,UK,108128,108128
violet & daisy,61.0,2011,88,USA,17186,108139
civic duty,62.0,2006,98,"UK, USA, Canada",95953,108187
wanda,71.0,1970,102,USA,51713,108522
vergine giurata,63.0,2015,84,"Italy, Switzerland, Germany, Albania, Kosovo, France",4636,108681
adult beginners,56.0,2014,92,USA,108808,108808
córki dancingu,63.0,2015,92,Poland,101657,108846
blood done sign my name,66.0,2010,128,USA,109383,109383
the wedding party 2: destination dubai,45.0,2017,98,Nigeria,11140,109459
the 24 hour woman,53.0,1999,93,USA,109535,109535
gekijouban ano hi mita hana no namae wo bokutachi wa mada shiranai.,74.0,2013,99,Japan,109630,109630
babylon,74.0,1980,95,"UK, Italy",109749,109749
diva,71.0,1981,117,France,110014,110014
roar,62.0,1981,102,USA,110048,110048
the trouble with terkel,71.0,2010,87,USA,110289,110289
the perfect family,57.0,2011,84,USA,110313,110313
puccini for beginners,60.0,2006,82,USA,89464,110864
the obama effect,18.0,2012,85,USA,110904,110904
strangerland,52.0,2015,112,"Ireland, Australia",17472,111107
mes provinciales,63.0,2018,137,France,21598,111197
shôjo,67.0,2001,132,Japan,65171,111287
love the hard way,64.0,2001,104,"Germany, USA",44391,111350
deewaar: let's bring our heroes home,61.0,2004,163,India,111423,111423
thomas est amoureux,70.0,2000,97,"Belgium, France",44256,111523
medicine for melancholy,67.0,2008,88,USA,111551,111551
1915,43.0,2015,82,USA,111682,111682
saint john of las vegas,57.0,2009,85,USA,102645,111731
torrents of spring,59.0,1989,101,"UK, France, Italy",111747,111747
hometown legend,57.0,2002,120,USA,111806,111806
una noche,68.0,2012,90,"USA, UK",100887,111903
even money,59.0,2006,113,"USA, Germany",64458,111974
kak vitka chesnok vyoz lyokhu shtyrya v dom invalidov,71.0,2017,90,Russia,12954,112071
the recall,42.0,2017,90,Canada,22943,112357
arizona dream,73.0,1993,142,"USA, France",112547,112547
a boy. a girl. a dream.,47.0,2018,89,USA,112552,112552
thicker than water,49.0,1999,91,USA,112891,112891
going all the way,56.0,1997,103,USA,113069,113069
food of love,60.0,2002,112,"Spain, Germany",43922,113164
ging chaat goo si,76.0,1985,100,Hong Kong,113164,113164
road hard,61.0,2015,98,USA,113169,113169
absurdistan,67.0,2008,88,Germany,39683,113269
"we love you, sally carmichael!",61.0,2017,84,USA,113435,113435
games people play,39.0,2004,97,USA,113622,113622
bord de mer,54.0,2002,90,France,15290,113724
winter passing,63.0,2005,98,USA,107492,113783
35 and ticking,56.0,2011,104,USA,113794,113794
bodied,71.0,2017,120,USA,113956,113956
camera obscura,42.0,2000,99,USA,11384,114015
kippur,63.0,2000,117,"Israel, France",114283,114283
sympathie pour le diable,78.0,2019,100,"France, Canada, Belgium",51150,114301
guncrazy,55.0,1992,97,USA,114516,114516
nostalgia,55.0,2018,114,USA,114603,114603
caged no more,55.0,2016,99,"USA, Greece",114959,114959
shakes the clown,56.0,1991,87,USA,115103,115103
der tunnel,77.0,2001,150,Germany,46296,115112
loggerheads,71.0,2005,95,USA,115314,115314
the hero of color city,41.0,2014,77,"USA, India, South Korea",32188,115335
headshot,62.0,2011,105,"Thailand, France",1373,115511
bank robber,46.0,1993,91,USA,115842,115842
the grand,60.0,2007,104,USA,115879,115879
touching home,58.0,2008,108,USA,116353,116353
familia rodante,66.0,2004,103,"Argentina, Brazil, France, Germany, Spain, UK",9291,116512
a case of you,56.0,2013,89,USA,4187,116559
gimme the loot,66.0,2012,79,USA,104442,116783
gummo,68.0,1997,89,USA,116799,116799
"love, sex and eating the bones",59.0,2003,100,Canada,116869,116869
come to daddy,60.0,2019,96,"Ireland, Canada, New Zealand, USA",96713,116930
the big picture,62.0,1989,100,USA,117463,117463
spring forward,75.0,1999,110,USA,117471,117471
running free,58.0,1999,81,"USA, France, South Africa",117608,117608
the decoy bride,62.0,2011,89,UK,759,117754
victor,64.0,2015,105,USA,117755,117755
consuming passions,58.0,1988,98,UK,118206,118206
search party,56.0,2014,93,USA,4571,118263
the levelling,64.0,2016,83,UK,3040,118451
music from another room,64.0,1998,104,USA,118475,118475
gentlemen broncos,62.0,2009,89,USA,113682,118492
ni le ciel ni la terre,63.0,2015,100,"France, Belgium",12810,118663
remember the goal,60.0,2016,88,USA,119100,119100
12 and holding,75.0,2005,95,USA,96464,119195
zerkalo,81.0,1975,107,Soviet Union,22168,119266
the trial,60.0,1993,120,UK,119267,119267
valley of the heart's delight,56.0,2006,100,USA,119290,119290
digging for fire,58.0,2015,85,USA,119364,119364
amy's orgasm,52.0,2001,87,USA,119664,119664
lü cao di,66.0,2005,102,China,71223,119732
chaharshanbe-soori,77.0,2006,102,Iran,90519,119881
avant qu'on explose,66.0,2019,108,Canada,119894,119894
perfect opposites,55.0,2004,99,USA,16201,120375
sons of provo,59.0,2004,93,USA,120488,120488
cowgirls 'n angels,61.0,2012,92,USA,120680,120680
david & layla,54.0,2005,106,USA,120750,120750
i am a sex addict,60.0,2005,98,USA,115694,120790
better living through chemistry,63.0,2014,91,"UK, USA",75143,120823
la jeune fille sans mains,69.0,2016,76,France,21787,121020
michael,69.0,2011,96,Austria,15715,121034
love after love,54.0,2017,91,USA,121098,121098
afflicted,63.0,2013,85,"Canada, USA",121179,121179
cartas a elena,60.0,2011,97,"USA, Mexico",8511,121254
all the queen's men,48.0,2001,99,"Germany, Austria, USA",23662,121258
mutual appreciation,67.0,2005,109,USA,103509,121292
for the moment,60.0,1993,120,Canada,121548,121548
temblores,68.0,2019,107,"Guatemala, France, Luxembourg",23911,121813
the ones below,61.0,2015,87,UK,12488,121827
avant que j'oublie,60.0,2007,108,France,27611,122071
dancing at the blue iguana,57.0,2000,123,USA,67913,122121
tragedy girls,60.0,2017,98,USA,61899,122211
